Id;Label
1;2 Chainz
2;2Pac
3;50 Cent
4;Adam Levine
5;Akon
6;Alicia Keys
7;Black Rob
8;Ca$his
9;Ciara
10;DMX
11;Daz Dillinger
12;Dr. Dre
13;Dramacydal
14;Eminem
15;Eric B. & Rakim
16;Freeway
17;G-Unit
18;JAY-Z
19;Jadakiss
20;Jeezy
21;Jeremih
22;Joe
23;Justin Timberlake
24;Kendrick Lamar
25;Kidd Kidd
26;LL Cool J
27;Lil' Kim
28;Lloyd Banks
29;LoveRance
30;M.O.P.
31;Mary J. Blige
32;Mase
33;Michael Jackson
34;Missy Elliott
35;Mobb Deep
36;Mr. Probz
37;Nas
38;Nate Dogg
39;Ne-Yo
40;New Edition
41;Nicki Minaj
42;Nicole Scherzinger
43;Olivia
44;Onyx
45;Pharrell Williams
46;Pusha T
47;Snoop Dogg
48;Soulja Boy
49; Styles P
50; T.I.
51;The Game
52;The LOX
53;The Madd Rapper
54;The Notorious B.I.G.
55;Timbaland
56;Tony Yayo
57;Too $hort
58;Trey Songz
59;Wu-Tang Clan
60;Yo Gotti
61;Young Buck
